State,Guns per capita
Texas,19.39978752
California,8.567677247
Florida,15.3532871
Virginia,34.89845932
Pennsylvania,18.05397411
Georgia,17.24719049
Arizona,24.356901
Ohio,14.59843261
Alabama,31.70898068
North Carolina,14.21382527
Illinois,11.43797739
Wyoming,228.6537756
Louisiana,24.88375575
Indiana,16.58205652
South Carolina,20.0520551
Maryland,16.37086051
Tennessee,14.00499021
New Mexico,45.70440426
Colorado,15.41336019
Washington,11.4800882
Connecticut,22.7907683
Kentucky,17.79454965
Arkansas,26.26169863
Minnesota,13.60964363
Nevada,23.83509123
New York,3.726832795
Missouri,11.76461108
Utah,21.27844133
Oklahoma,17.72087943
Michigan,6.486350171
Wisconsin,10.89336215
New Hampshire,45.94701282
Oregon,14.08154417
New Jersey,6.093054086
Kansas,17.76190663
Idaho,25.80807076
Massachusetts,5.178264891
Rhode Island,33.44550252
Mississippi,11.99335152
West Virginia,19.85661613
Iowa,8.811926872
Nebraska,11.10560565
Montana,19.89182757
South Dakota,23.26031963
Alaska,21.37399218
Maine,11.19879
North Dakota,16.36409369
Hawaii,5.296671569
Vermont,9.057828497
Delaware,4.768311367
