,Unnamed: 0.1,Unnamed: 0,State,County,Violent crime total,Murder/NNMS,Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny/theft,Motor vehicle theft,FELONY,VIOLENT,DEALER,PERMIT,TRAINING,REGISTRATION,UNIVERSAL,ASSAULT,OPENCARRYH,OPENCARRYPERMITH,PERMITCONCEALED,NOSYG,LAWTOTAL,Strictness,Const_Carry,Population,_merge,Violent crime rate
0,0,0,Arizona,Cochise,47,0,1,3,43,531,195,273,63,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,125922,both,0.0003732469306396023
1,1,1,Arizona,Coconino,127,6,17,1,103,264,59,180,25,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,143476,both,0.0008851654632133597
2,2,2,Arizona,Mohave,135,3,6,19,107,1983,573,1197,213,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,212181,both,0.0006362492400356299
3,3,3,Arizona,Pinal,197,3,5,18,171,1469,321,987,161,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,462789,both,0.0004256799534993269
4,4,4,Arizona,Yavapai,193,5,0,4,184,860,155,608,97,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,235099,both,0.0008209307568301014
5,5,5,Arizona,Yuma,136,7,17,6,106,807,223,502,82,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,213787,both,0.0006361471932343875
6,6,6,Arizona,Gila,176,1,3,5,167,384,65,252,67,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,54018,both,0.0032581732015254175
7,7,7,Arizona,Graham,61,4,0,0,57,104,20,76,8,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,38837,both,0.0015706671473079796
8,8,8,Arizona,La Paz,40,1,2,3,34,310,87,181,42,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,21108,both,0.0018950161076369148
9,9,9,Arizona,Navajo,43,1,0,5,37,341,192,115,34,1,0,0,0,0,0,0,0,0,0,0,0,8,Fewer regulations,Constitutional carry,110924,both,0.00038765280732753956
